ID;Heures_depuis_dernière_maintenance;Maintenance_complète_année_précédente;Warning_depuis_dernière_maintenance;Heures_usage;Site_fabrication;Type_fréquence;Sensitivité;Type;Usage_critique;Type_avion;Incident
101264;40;No;No;1522;1;A1;Normal;Wet;No;Cargo;No
101265;62;Yes;No;2352;1;A1;Low;Normal;Yes;Helicopter;No
101266;57;Yes;No;3592;1;A1;Low;Wet;No;Passengers LD;No
101267;18;Yes;;5840;2;D;Low;Dry;No;Passengers SD;No
101268;65;Yes;Yes;4460;1;A1;Low;Normal;No;Passengers LD;No
101269;46;No;Yes;3942;2;A2;Low;Normal;Yes;Turboprop;No
101270;68;Yes;No;2185;1;D;Low;Dry;Yes;Helicopter;No
101271;45;No;No;1452;1;A2;Low;Normal;Yes;Fighter type B;No
101272;58;No;No;1293;1;C;Low;Normal;No;Passengers LD;No
101273;42;No;No;1506;2;A1;Normal;;No;Unknown;No
101274;48;Yes;No;2600;2;C;Low;Wet;No;Tanker;No
101275;32;No;No;3285;1;C;Low;Wet;Yes;Other;No
101276;;No;No;1697;1;A2;Normal;Dry;No;Unknown;No
101277;41;Yes;No;3688;1;A1;Normal;Dry;No;Helicopter;No
101278;50;Yes;Yes;3215;1;C;Normal;Normal;No;Fighter type C;No
101279;41;No;Yes;2164;1;C;Low;Dry;Yes;Fighter type C;No
101280;53;No;Yes;2599;1;C;Low;Normal;No;Fighter type C;Yes
101281;34;No;Yes;1549;1;B;Low;Dry;No;Fighter type C;No
101282;23;Yes;No;2468;2;D;Low;Dry;Yes;Fighter type B;No
101283;46;No;Yes;2241;2;D;Low;Wet;Yes;Passengers LD;No
101284;26;No;Yes;3323;;C;Low;Dry;Yes;Cargo;No
101285;45;No;Yes;2084;1;A2;Normal;Dry;No;Passengers LD;No
101286;58;No;No;3792;2;A2;Normal;Normal;No;Fighter type C;No
101287;62;No;Yes;2647;2;A1;;Dry;No;Unknown;No
101288;47;No;Yes;3093;1;C;Low;Dry;Yes;Cargo;No
101289;50;No;Yes;3429;2;C;Low;Wet;No;Fighter type B;No
101290;43;No;No;3778;2;A2;Low;Normal;No;Fighter type C;No
101291;53;No;No;2528;2;A1;Low;Normal;No;Unknown;No
101292;66;No;No;2363;1;D;Low;Dry;No;Other;No
101293;68;No;No;1488;1;A1;Low;Normal;Yes;Fighter type A;No
101294;69;No;No;1949;2;C;Low;Normal;Yes;Other;No
101295;39;No;Yes;3812;1;;Low;Normal;No;Fighter type B;No
101296;57;No;No;1940;2;B;Low;Dry;No;Fighter type C;No
101297;73;Yes;No;2124;1;A1;Low;Wet;Yes;Helicopter;No
101298;42;No;No;2708;1;C;Low;Normal;No;Turboprop;No
101299;22;No;Yes;3931;1;A1;Normal;Wet;No;Unknown;No
101300;75;No;No;1826;2;A2;Normal;Normal;Yes;Helicopter;No
101301;46;No;No;3235;1;C;Low;Normal;No;Fighter type A;No
101302;74;No;No;2849;1;;Low;Dry;No;Helicopter;No
101303;64;No;No;2656;2;C;Normal;Wet;No;Passengers SD;No
101304;32;No;No;1860;2;A1;Normal;Wet;No;Helicopter;No
101305;71;No;No;1701;1;A2;Low;Dry;No;Unknown;No
101306;42;No;Yes;4934;1;A2;Low;Wet;No;Fighter type B;No
101307;51;No;No;2529;1;C;Low;Normal;No;Unknown;Yes
101308;55;No;Yes;2935;2;A1;Low;Wet;Yes;Other;No
101309;47;No;Yes;2425;2;A1;Low;Wet;No;Fighter type A;No
101310;56;No;No;1529;1;D;Low;Wet;Yes;Tanker;No
101311;67;Yes;Yes;3333;1;A1;Low;Dry;Yes;Fighter type C;No
101312;47;No;Yes;1009;2;C;Low;Wet;Yes;Cargo;No
101313;29;;No;1373;2;D;Low;Dry;No;Fighter type A;No
101314;65;No;No;1843;1;B;Normal;Normal;No;Cargo;No
101315;67;Yes;No;3345;1;C;Low;Dry;No;Passengers SD;No
101316;45;No;No;1544;2;A1;Low;Normal;Yes;Cargo;No
101317;59;;No;1959;1;A1;Normal;Wet;Yes;Unknown;No
101318;48;No;No;1605;1;C;Normal;Wet;No;Helicopter;No
101319;47;No;No;1486;2;A2;Low;Dry;No;Helicopter;No
101320;22;No;Yes;1978;1;C;Low;Dry;Yes;Passengers LD;No
101321;46;No;Yes;4308;1;A1;Normal;Wet;No;Fighter type C;No
101322;53;Yes;No;4269;2;A2;;Normal;No;Passengers LD;No
101323;22;No;Yes;3884;2;D;Low;Dry;No;Fighter type C;No
101324;70;Yes;No;2263;2;D;Normal;Dry;Yes;Fighter type C;No
101325;55;Yes;No;2501;2;D;Low;Dry;No;Other;No
101326;36;No;No;2878;1;C;Low;Dry;No;Passengers LD;No
101327;45;No;Yes;3636;1;C;Low;Wet;No;Passengers SD;No
101328;79;No;No;1194;1;A1;Low;Normal;No;Passengers LD;No
101329;50;No;No;2370;1;C;Normal;Dry;Yes;Fighter type C;No
101330;67;Yes;No;1886;1;C;Low;Wet;No;Unknown;No
101331;44;No;Yes;3608;1;A1;Low;Wet;No;Cargo;No
101332;61;No;No;3036;1;A2;Normal;Dry;Yes;Passengers SD;No
101333;76;No;No;2764;1;D;Low;Dry;No;Fighter type B;No
101334;69;No;No;2278;1;A1;Low;Wet;Yes;Fighter type B;No
101335;44;No;No;3647;2;A2;Low;Dry;No;Passengers SD;No
101336;50;No;No;3013;2;A1;Low;Dry;Yes;Fighter type C;No
101337;59;No;Yes;2745;1;C;Low;Wet;;Helicopter;No
101338;19;No;;1758;2;C;Low;Normal;No;Fighter type C;No
101339;28;No;Yes;1877;2;A1;Low;Dry;No;Passengers SD;No
101340;73;No;No;3406;1;A2;Low;Normal;No;Unknown;No
101341;18;No;No;4814;1;A1;Normal;Wet;No;Unknown;No
101342;60;Yes;No;1086;2;A2;Normal;Normal;No;Passengers LD;No
101343;40;No;Yes;5035;1;C;Low;Normal;No;Helicopter;No
101344;19;Yes;Yes;3465;1;A2;Low;Normal;Yes;Unknown;Yes
101345;57;No;Yes;1337;1;C;Normal;Normal;No;;No
101346;59;Yes;No;2116;2;A2;Low;Normal;Yes;Cargo;No
101347;55;Yes;No;2440;1;A2;Low;Dry;Yes;Tanker;No
101348;24;No;No;2314;2;D;Low;Wet;No;Other;No
101349;47;;No;1262;1;C;Low;Dry;No;Other;No
101350;53;No;No;2402;2;B;Low;Wet;No;Fighter type C;No
101351;68;No;No;3899;1;D;Low;Normal;No;Cargo;Yes
101352;50;No;No;2805;1;D;;Normal;;Unknown;No
101353;51;Yes;Yes;4445;1;C;Low;Dry;No;Other;No
101354;35;No;No;3344;2;A2;Normal;Dry;No;Tanker;No
101355;42;Yes;No;2361;2;A1;Normal;Wet;No;Unknown;No
101356;41;Yes;Yes;1932;2;D;Low;Wet;No;Fighter type C;No
101357;46;No;No;3651;;D;Normal;Wet;No;Fighter type A;No
101358;37;Yes;Yes;3356;2;A1;Normal;Wet;No;Tanker;No
101359;57;No;No;1745;1;A1;Normal;Wet;No;Unknown;No
101360;48;No;No;2160;2;D;Low;Normal;No;Other;No
101361;41;Yes;No;1982;1;C;Low;Dry;No;Passengers SD;No
101362;79;Yes;No;2958;1;A2;Low;Normal;No;Fighter type C;Yes
101363;40;Yes;No;1628;1;A1;Normal;Wet;No;Cargo;No
101364;51;Yes;Yes;3837;1;A2;Low;Wet;Yes;Fighter type C;No
101365;44;Yes;No;3898;2;A2;Low;Wet;No;Fighter type A;No
101366;42;Yes;No;2764;2;D;Low;Normal;No;Turboprop;No
101367;19;No;No;2961;1;C;Low;Dry;Yes;Unknown;No
101368;56;No;No;2307;2;C;Normal;Wet;No;Fighter type C;No
101369;68;Yes;Yes;1691;1;A2;Low;Dry;No;Fighter type C;No
101370;30;No;Yes;1623;1;A1;Normal;Normal;No;Turboprop;No
101371;22;Yes;;1733;2;A2;Low;;No;Tanker;No
101372;46;No;No;2450;2;;Low;Wet;No;Passengers LD;No
101373;77;No;Yes;2163;2;D;Normal;Normal;No;Cargo;No
101374;70;;No;2942;2;D;Low;Dry;No;Helicopter;No
101375;59;Yes;No;3774;1;A2;Normal;Wet;No;Other;No
101376;47;No;No;2197;2;D;Low;Dry;No;Passengers LD;No
101377;81;No;No;2053;1;A2;Normal;Dry;Yes;Fighter type C;Yes
101378;47;No;Yes;1933;1;C;Low;Normal;No;Passengers SD;No
101379;56;Yes;Yes;1320;1;A2;Normal;Dry;No;Unknown;Yes
101380;62;No;No;1356;2;C;Low;Normal;Yes;Helicopter;No
101381;61;Yes;No;2135;1;A2;Low;Dry;No;Helicopter;No
101382;62;Yes;No;2218;1;D;Normal;Normal;No;Passengers LD;No
101383;56;Yes;Yes;1978;1;A1;Low;Normal;Yes;Other;No
101384;;No;Yes;2727;1;C;Low;Dry;;Other;No
101385;61;Yes;No;4650;1;A2;Low;Dry;No;Passengers SD;No
101386;54;Yes;No;3146;1;C;Low;Dry;No;Unknown;No
101387;47;Yes;No;1549;1;D;Low;;No;Fighter type C;No
101388;77;Yes;No;2316;2;A1;Normal;Dry;No;Fighter type A;No
101389;57;No;No;2129;1;C;Low;Wet;Yes;Cargo;No
101390;38;No;No;2493;1;A1;Low;Normal;No;Passengers LD;No
101391;85;No;Yes;2141;2;A1;Low;Dry;No;Helicopter;No
101392;63;No;Yes;3221;1;A1;Normal;Dry;No;Unknown;No
101393;80;No;Yes;1662;2;A1;Normal;Wet;Yes;Cargo;No
101394;61;No;No;1504;2;C;Normal;Wet;Yes;Turboprop;No
101395;75;Yes;Yes;2508;2;C;Normal;Dry;No;Unknown;No
101396;19;Yes;Yes;2678;2;C;Low;Wet;No;Passengers LD;No
101397;60;No;Yes;1862;1;C;Low;Dry;No;Fighter type C;No
101398;38;No;Yes;1908;2;A2;Low;Normal;No;Fighter type C;No
101399;71;No;No;2543;1;C;Low;Wet;No;Passengers LD;No
101400;51;No;No;3705;;A1;Low;Wet;No;Passengers SD;No
101401;;No;No;2280;1;C;Normal;Wet;No;Fighter type A;No
101402;38;No;Yes;2245;1;C;Normal;Dry;No;Turboprop;No
101403;48;No;Yes;1880;2;A2;Low;Normal;No;Cargo;Yes
101404;42;No;No;2781;1;A1;;Wet;No;Passengers SD;No
101405;27;No;No;1496;2;C;Low;Dry;No;Other;No
101406;28;Yes;Yes;2466;2;A2;Normal;Dry;No;Other;No
101407;51;Yes;No;3463;1;A2;Low;Dry;No;;No
101408;86;No;No;5467;1;C;Low;Dry;No;Helicopter;No
101409;50;No;No;1408;1;A2;Normal;Wet;Yes;Fighter type A;Yes
101410;41;No;No;5067;2;C;Normal;Normal;Yes;Tanker;Yes
101411;56;No;No;1567;1;A1;Low;Wet;No;Fighter type C;No
101412;76;Yes;No;3546;1;D;Normal;Normal;Yes;Turboprop;No
101413;45;No;Yes;3415;2;A2;Low;Wet;Yes;Cargo;No
101414;32;No;No;3226;1;A1;Low;Wet;No;Tanker;No
101415;38;Yes;Yes;5704;2;C;Low;Wet;;Fighter type B;No
101416;59;Yes;;2424;2;D;Normal;Wet;Yes;Turboprop;No
101417;65;No;Yes;2557;1;A2;Low;Normal;No;Unknown;No
101418;26;No;Yes;3094;1;B;Normal;Normal;No;Turboprop;No
101419;40;No;No;2447;2;A2;Normal;Normal;No;Helicopter;No
101420;27;No;Yes;3451;1;A1;Low;Dry;No;Fighter type C;No
101421;56;No;No;3077;2;D;Normal;Dry;No;Fighter type B;No
101422;49;Yes;No;2055;1;A1;Low;Dry;No;Tanker;No
101423;38;No;No;2576;2;D;Low;Wet;;Fighter type B;No
101424;27;Yes;;4513;2;C;Low;Normal;;Turboprop;No
101425;71;No;Yes;2751;1;A2;Low;;No;Fighter type B;No
101426;48;Yes;No;3471;1;A1;Low;Normal;No;Turboprop;No
101427;;No;Yes;1510;;C;Low;;No;Passengers SD;No
101428;71;Yes;Yes;2698;2;A1;Normal;;;Fighter type A;No
101429;58;Yes;Yes;3695;1;A2;Low;Wet;No;Helicopter;No
101430;50;No;No;2023;2;D;Low;Dry;No;Fighter type C;No
101431;57;No;No;3848;1;D;Low;Wet;No;Fighter type B;No
101432;66;No;Yes;3898;2;C;Low;Wet;No;Helicopter;No
101433;61;No;No;1846;1;A2;Low;Normal;No;Passengers SD;No
101434;56;No;No;2333;2;A2;;Dry;No;Fighter type C;No
101435;58;Yes;No;5034;2;A1;Normal;Dry;Yes;Other;No
101436;33;No;No;2403;1;A1;Normal;Wet;No;Unknown;No
101437;;Yes;No;2740;1;D;Low;Dry;No;Fighter type B;No
101438;78;Yes;No;3820;2;A1;Low;Dry;No;Fighter type C;No
101439;41;Yes;No;2198;1;C;Low;Normal;No;Fighter type B;No
101440;44;No;No;2646;1;D;Low;Wet;No;Fighter type C;No
101441;18;Yes;No;2235;1;D;Low;Normal;No;Fighter type C;No
101442;31;Yes;No;3342;;A2;Low;Dry;No;Passengers SD;No
101443;43;Yes;Yes;3126;1;A1;Low;Wet;No;Cargo;No
101444;59;Yes;Yes;1930;2;D;Low;Dry;No;Passengers LD;No
101445;75;No;Yes;3378;2;A2;Low;Dry;Yes;Fighter type C;No
101446;39;No;Yes;3381;2;A1;Low;Wet;No;Helicopter;No
101447;67;No;No;4890;2;C;Low;Dry;No;;No
101448;;No;Yes;1774;1;D;;Wet;No;Fighter type C;No
101449;52;Yes;Yes;1749;2;D;Low;Normal;Yes;Other;No
101450;43;No;;1688;2;C;Normal;Wet;Yes;Passengers LD;No
101451;36;No;Yes;2638;1;A1;Low;Wet;No;Fighter type A;No
101452;42;Yes;Yes;1786;2;C;;Dry;Yes;Passengers SD;No
101453;66;Yes;Yes;1405;1;B;Low;Dry;No;Helicopter;No
101454;30;No;Yes;2219;2;A1;Low;Normal;Yes;Helicopter;No
101455;50;Yes;No;3150;;;Low;Wet;No;Passengers SD;No
101456;37;No;Yes;2643;2;A2;Low;Wet;No;Fighter type C;No
101457;33;Yes;No;2799;2;C;Normal;Wet;Yes;Turboprop;No
101458;61;Yes;Yes;2346;2;D;Low;Dry;No;Fighter type C;No
101459;50;No;Yes;2817;2;A1;Normal;Normal;No;Passengers SD;No
101460;;No;No;1627;1;C;Normal;Wet;Yes;Fighter type C;No
101461;60;No;No;2558;1;A1;Low;Wet;No;Cargo;No
101462;48;Yes;Yes;2588;1;A2;Low;Dry;No;Unknown;No
101463;43;No;No;2468;1;C;Low;Wet;No;Fighter type C;No
101464;38;No;Yes;2264;1;A1;Low;Wet;Yes;Unknown;No
101465;64;No;;2648;2;D;Low;Wet;No;Fighter type B;No
101466;45;No;No;2865;1;D;Low;Dry;No;Turboprop;No
101467;26;No;Yes;2212;1;A2;Low;Dry;Yes;Unknown;No
101468;29;No;No;1802;1;C;Low;Normal;No;Turboprop;No
101469;75;Yes;No;2205;1;A2;Normal;Normal;No;Fighter type C;No
101470;45;No;;2414;2;C;Low;Wet;Yes;Fighter type C;No
101471;34;Yes;No;2453;2;A1;Normal;Normal;Yes;Turboprop;No
101472;64;Yes;No;1948;1;A2;Low;Wet;Yes;Fighter type C;No
101473;68;No;No;2150;1;D;Low;Normal;No;Passengers LD;No
101474;50;Yes;Yes;2702;1;A1;Low;Normal;Yes;Fighter type A;No
101475;30;No;;3767;2;C;Low;Wet;No;Fighter type C;Yes
101476;49;No;;2846;1;B;Low;Wet;No;Fighter type C;No
101477;58;No;No;3937;1;D;Normal;Normal;No;Unknown;No
101478;61;No;No;1756;2;D;Low;Normal;Yes;Fighter type C;No
101479;52;Yes;No;2144;1;C;Low;Wet;Yes;Turboprop;No
101480;64;No;Yes;1371;2;A1;Low;Wet;No;Tanker;No
101481;48;No;No;3593;2;C;Low;Dry;No;Fighter type C;No
101482;32;No;Yes;1991;1;D;Low;Dry;No;Tanker;No
101483;63;Yes;Yes;1620;2;A2;Low;Dry;No;Passengers LD;No
101484;40;No;No;1893;2;D;Normal;Normal;Yes;Fighter type C;No
101485;59;Yes;Yes;2135;1;C;Low;Wet;No;Cargo;No
101486;26;No;No;1700;2;A1;Low;Normal;Yes;Other;No
101487;48;No;Yes;1713;1;C;Low;Dry;No;Fighter type C;No
101488;67;No;No;1557;1;D;Normal;Normal;No;Fighter type C;Yes
101489;53;No;No;1548;1;A2;Low;Normal;Yes;Passengers LD;No
101490;40;No;Yes;2646;1;A2;;Dry;Yes;Turboprop;No
101491;49;No;No;1975;1;D;Low;Normal;No;Passengers SD;No
101492;58;No;;1891;1;A1;Normal;Normal;No;Tanker;No
101493;30;Yes;No;4313;2;A1;Normal;Normal;No;Fighter type C;No
101494;45;No;Yes;2899;2;C;Normal;Dry;No;;No
101495;39;No;No;1985;1;C;Low;Wet;No;Fighter type C;No
101496;18;No;Yes;2351;2;C;Normal;Normal;Yes;Helicopter;No
101497;40;No;Yes;2953;1;D;Normal;Wet;No;Fighter type C;No
101498;60;No;No;2969;2;A2;Normal;Normal;No;Tanker;No
101499;62;Yes;No;1490;1;D;Low;Dry;No;Unknown;No
101500;52;No;Yes;1923;1;A1;Low;Dry;No;Fighter type C;No
101501;64;No;No;4365;1;C;Low;Wet;Yes;Fighter type C;No
101502;60;Yes;No;1506;1;C;Normal;Wet;No;Unknown;No
101503;40;Yes;No;2589;2;A1;Low;Dry;Yes;Fighter type C;No
101504;40;Yes;Yes;2956;1;A1;Low;Wet;No;Unknown;No
101505;57;No;No;2472;1;C;Normal;Normal;No;Unknown;No
101506;37;No;No;2824;2;A1;Low;Wet;No;Fighter type B;No
101507;34;No;No;3257;2;C;Normal;Wet;Yes;Fighter type B;No
101508;45;No;Yes;3113;1;B;Normal;Wet;No;Fighter type B;No
101509;38;No;Yes;3006;2;C;Low;Normal;No;Tanker;Yes
101510;;Yes;Yes;3525;1;A1;Low;Wet;No;Fighter type C;No
101511;39;No;Yes;1926;2;D;Normal;Normal;Yes;Passengers LD;No
101512;26;Yes;No;4517;2;C;Low;Normal;Yes;Cargo;No
101513;50;No;Yes;2337;2;B;Low;Normal;Yes;Turboprop;No
101514;55;Yes;Yes;1638;1;A1;Low;Wet;No;Turboprop;No
101515;36;No;No;3199;1;A1;Low;Dry;No;Fighter type C;No
101516;68;Yes;No;2859;2;A1;Low;Normal;No;Passengers LD;No
101517;31;Yes;No;1931;2;D;Normal;Dry;Yes;Fighter type C;No
101518;29;No;No;3460;1;C;Low;Wet;Yes;Tanker;No
101519;46;No;Yes;4162;1;A1;Low;Dry;Yes;Fighter type A;No
101520;56;No;Yes;1737;;C;Low;Normal;No;Other;No
101521;66;Yes;Yes;2064;2;D;Low;Normal;No;Fighter type B;No
101522;48;No;No;4072;2;C;Low;Dry;Yes;Other;No
101523;62;Yes;No;2620;1;A1;Low;Dry;No;Fighter type C;No
101524;67;Yes;No;1011;1;B;Normal;Dry;Yes;Fighter type B;No
101525;;Yes;No;2264;2;A1;Normal;Normal;No;Fighter type C;No
101526;58;No;Yes;2514;1;D;Low;Wet;Yes;Fighter type B;No
101527;53;Yes;No;1851;;D;Low;Dry;No;Fighter type B;No
101528;62;No;No;2065;2;C;Normal;Wet;No;Tanker;No
101529;56;No;Yes;1683;1;C;Normal;Normal;Yes;Unknown;No
101530;62;No;No;2236;2;D;Normal;Dry;No;Helicopter;No
101531;63;Yes;No;1114;2;C;Low;Normal;No;Fighter type C;No
101532;61;Yes;No;1859;2;A1;Normal;Dry;No;Tanker;No
101533;;Yes;No;2779;1;B;Low;Normal;No;Turboprop;No
101534;24;Yes;No;3616;2;A1;Low;Wet;No;Tanker;No
101535;54;No;No;1310;1;B;Low;Wet;No;Unknown;No
101536;54;No;Yes;2659;1;A1;Low;Dry;No;Fighter type C;No
101537;63;No;No;3336;2;A2;Normal;Dry;No;Other;No
101538;39;Yes;No;3036;2;A1;Low;Wet;Yes;Other;No
101539;80;No;No;1275;1;A2;Normal;Normal;No;Fighter type C;No
101540;58;Yes;Yes;2569;2;D;Low;Dry;Yes;Fighter type C;No
101541;54;No;Yes;2658;2;D;Low;Wet;No;Cargo;Yes
101542;60;No;No;2723;2;A2;Normal;Normal;Yes;Fighter type C;No
101543;70;No;Yes;1208;2;D;Normal;Wet;Yes;Other;No
101544;38;Yes;No;1816;1;C;Normal;Wet;No;;No
101545;26;Yes;No;2952;1;B;Low;Normal;No;Tanker;No
101546;56;No;No;3135;2;A1;Low;Wet;Yes;Unknown;No
101547;55;Yes;No;4016;1;C;Normal;Dry;No;Fighter type B;No
101548;54;No;Yes;2733;1;C;Low;Dry;Yes;Helicopter;No
101549;35;No;No;1675;1;A2;Low;Wet;No;Helicopter;No
101550;42;No;No;3890;1;D;Low;Dry;No;Passengers LD;No
101551;40;Yes;;3813;2;C;Low;Wet;No;Fighter type A;No
101552;69;No;Yes;2168;2;A1;Low;Dry;No;Helicopter;No
101553;80;No;Yes;1698;2;D;Normal;Dry;No;Turboprop;No
101554;69;No;No;3153;2;A1;Normal;Dry;Yes;Fighter type A;No
101555;42;No;Yes;4901;1;C;Low;Dry;Yes;Fighter type A;No
101556;59;No;Yes;2899;1;C;Normal;Wet;No;Other;No
101557;28;No;No;5039;2;D;Low;Normal;Yes;;No
101558;55;No;No;1736;1;A1;Low;Normal;Yes;Fighter type C;No
101559;55;Yes;No;3110;1;A2;Normal;Wet;No;Fighter type A;No
101560;55;No;No;2808;1;A2;Normal;Wet;No;Fighter type B;No
101561;38;No;Yes;4153;2;B;Normal;Normal;Yes;Fighter type B;No
101562;81;Yes;No;2282;1;;Normal;Normal;No;Passengers LD;Yes
101563;65;No;Yes;1984;1;C;Low;Normal;Yes;Turboprop;No
101564;79;Yes;Yes;1764;1;C;Low;Dry;Yes;Fighter type C;No
101565;74;Yes;Yes;2619;;D;Low;Normal;Yes;Other;Yes
101566;24;No;No;1458;2;C;Low;Dry;No;;No
101567;57;No;Yes;3336;2;A2;Low;Wet;Yes;Fighter type C;No
101568;48;Yes;Yes;2043;2;B;Normal;Normal;No;Unknown;No
101569;54;Yes;No;4491;1;A2;Low;Dry;No;Fighter type A;No
101570;46;No;Yes;2959;2;D;Low;Dry;No;Turboprop;No
101571;;Yes;No;3602;1;D;Low;Dry;No;;No
101572;;No;No;2132;2;C;Low;Wet;No;Fighter type C;No
101573;49;No;No;3056;1;D;Low;Dry;Yes;Fighter type C;No
101574;43;No;No;1889;1;B;;Dry;No;Passengers SD;No
101575;66;No;Yes;1987;2;C;Normal;Dry;Yes;Turboprop;No
101576;80;Yes;Yes;3162;1;A1;Low;Normal;Yes;Turboprop;No
101577;64;No;No;2090;2;D;Low;Dry;No;Unknown;No
101578;46;No;No;1724;2;C;Normal;Normal;Yes;Fighter type C;No
101579;66;No;No;3259;1;A1;Normal;Dry;No;Fighter type C;No
101580;50;Yes;Yes;2578;1;D;Low;Dry;No;Passengers SD;No
101581;;No;Yes;2715;1;C;Low;Wet;No;Fighter type B;No
101582;44;Yes;Yes;3062;;C;Low;Wet;No;Other;No
101583;50;No;No;4207;1;A1;Low;Normal;No;Unknown;No
101584;28;No;No;1597;1;A2;Low;Normal;No;Fighter type B;No
101585;62;No;No;2613;2;A1;Low;Normal;No;Turboprop;No
101586;23;Yes;No;1430;2;A1;Low;Dry;Yes;Tanker;No
101587;43;No;No;4770;1;A1;Normal;Dry;No;Turboprop;No
101588;58;Yes;No;3647;1;A1;Low;Normal;No;Fighter type C;No
101589;38;No;No;1570;2;C;Low;Normal;No;Tanker;Yes
101590;85;No;Yes;2172;2;D;Normal;Wet;Yes;Helicopter;No
101591;65;No;No;1920;2;C;Low;Dry;No;Unknown;No
101592;70;No;No;3944;1;D;Low;Dry;No;Unknown;No
101593;56;Yes;Yes;2009;1;D;Low;Dry;No;Tanker;No
101594;23;Yes;Yes;4037;2;C;Normal;Wet;No;Unknown;No
101595;64;Yes;;5189;1;C;Low;Normal;Yes;Passengers LD;Yes
101596;58;No;No;2588;1;C;Low;Normal;No;Fighter type A;No
101597;37;Yes;Yes;2219;2;D;Low;Wet;No;Passengers SD;No
101598;66;No;No;3008;1;D;Low;Dry;No;Tanker;No
101599;51;Yes;No;3039;;A1;Low;Wet;No;Unknown;No
101600;79;No;No;2322;1;A2;Low;Dry;No;Fighter type C;Yes
101601;65;No;No;3843;2;B;Low;Normal;Yes;Unknown;No
101602;74;No;No;2890;1;A1;Low;Normal;No;Fighter type B;No
101603;40;No;Yes;2456;2;A2;Normal;Wet;No;Cargo;No
101604;24;Yes;Yes;1497;2;D;Low;Normal;Yes;Tanker;No
101605;37;Yes;Yes;2712;2;C;Low;Normal;Yes;Fighter type C;No
101606;80;No;No;2448;2;A1;Normal;Normal;No;Turboprop;No
101607;55;Yes;Yes;2978;1;A1;Low;Normal;No;Fighter type A;No
101608;46;No;No;3882;1;C;Normal;Normal;No;Passengers SD;No
101609;34;No;No;1742;1;A1;Low;Normal;Yes;Helicopter;No
101610;59;Yes;No;1544;2;D;Normal;Dry;No;Helicopter;No
101611;48;No;Yes;1126;2;D;Low;Wet;Yes;Turboprop;No
101612;58;No;;1581;2;A1;Low;Wet;No;Fighter type A;No
101613;66;Yes;Yes;3624;1;B;Low;Dry;No;Passengers SD;No
101614;50;No;No;2937;2;A2;Low;Dry;No;Turboprop;No
101615;39;Yes;Yes;1821;1;A2;Normal;Wet;No;Unknown;No
101616;54;No;Yes;4234;2;A2;Low;Dry;No;Helicopter;No
101617;34;No;Yes;2781;2;A1;Low;Dry;No;Fighter type C;No
101618;31;No;No;2618;1;D;Low;Wet;Yes;Fighter type A;No
101619;61;No;No;2833;1;A2;Low;Wet;No;Cargo;No
101620;44;No;Yes;4638;2;C;Low;Normal;;Tanker;No
101621;44;No;No;4209;1;C;Normal;Normal;;Fighter type A;No
101622;44;Yes;No;3644;2;C;Low;Wet;No;Passengers SD;No
101623;63;No;No;1754;2;A1;Normal;Wet;No;Cargo;No
101624;23;Yes;No;2070;1;C;Low;Dry;No;Passengers SD;No
101625;41;No;No;2934;2;B;Low;Normal;No;Unknown;No
101626;36;Yes;Yes;3087;2;A1;Low;Dry;No;Fighter type C;No
101627;62;No;Yes;3934;2;A1;Normal;Normal;Yes;Tanker;Yes
101628;33;No;Yes;2434;2;B;Low;Dry;No;Turboprop;No
101629;59;No;Yes;2817;1;A1;Low;Dry;Yes;Fighter type B;No
101630;55;No;Yes;2951;1;A2;Low;Dry;Yes;Cargo;No
101631;38;No;Yes;2738;1;C;Low;Normal;No;Turboprop;No
101632;34;No;No;1526;2;A1;Low;Wet;Yes;Passengers LD;No
101633;;No;No;1820;1;D;Low;Wet;No;Tanker;Yes
101634;36;No;No;1992;1;C;Normal;Dry;No;Passengers SD;No
101635;58;No;No;4014;1;A1;Low;Wet;No;Fighter type C;No
101636;48;Yes;No;2584;1;C;Normal;Normal;No;Other;No
101637;53;No;No;2150;1;D;Low;Normal;Yes;Fighter type C;No
101638;49;No;No;3993;2;A1;Normal;Normal;No;Other;No
101639;66;Yes;No;1807;2;B;Low;Normal;No;Fighter type C;No
101640;27;No;Yes;3007;2;C;Low;Dry;No;Other;No
101641;38;Yes;No;1720;2;C;Normal;Wet;No;Fighter type C;No
101642;72;No;Yes;3120;2;A2;Normal;Wet;No;Tanker;No
101643;64;Yes;Yes;2845;2;A1;Low;Normal;No;Passengers SD;No
101644;37;No;No;2140;2;A1;Normal;Dry;Yes;Cargo;No
101645;59;Yes;Yes;2128;2;A1;Low;Normal;No;Fighter type B;No
101646;72;No;No;2269;2;A2;Low;Dry;No;Cargo;No
101647;34;Yes;Yes;2825;2;D;Low;Dry;No;Tanker;No
101648;;Yes;No;3881;1;B;Low;Wet;Yes;Fighter type C;No
101649;35;No;No;3382;2;D;Low;Dry;Yes;Other;No
101650;65;No;No;2938;1;C;Low;Normal;No;Cargo;No
101651;31;No;No;2410;2;C;Low;Dry;No;Fighter type C;No
101652;52;Yes;No;2496;1;D;Low;Dry;No;Fighter type C;No
101653;27;No;No;2026;1;A1;Normal;Wet;Yes;Fighter type C;No
101654;36;Yes;Yes;2656;1;C;Low;Dry;No;Cargo;No
