ID;Age;Gender;Comments
208;25-34;Female;It is small, lightweight and easy to carry. Nothing.
216;25-34;Male;Good Design. Easy to use. Nothing.
220;>54;Female;I use it when I work around the house to listen to Frank and Dean when I can. It Is Large To Carry Around And The Hook They Have For Your Belt Doesn't Work Well.
224;18-24;Male;The compact design of the device and the software was very user friendly and easy to install. The Battery Does Not Last Long.
235;45-54;Male;Handy for listening to music on the way to work. I Like It But Now I Wish I Had Product A.
236;18-24;Male;I can take it anywhere I like. It Needs More Bass.
241;25-34;Female;Small, long battery life, and good sound. Buttons Are Very Small And Difficult To Control.
242;45-54;Female;Can store lots of songs. Maybe A Little Too Heavy.
266;25-34;Female;Size. Battery Life.
282;>54;Male;Small footprint. Software.
284;45-54;Female;Great music quality. Easy To Misplace.
288;25-34;Male;Very convenient, can take it anywhere. It Was Very Hard To Set Up. I Have Very Little Computer Experience.
294;45-54;Male;Ease of use. Bad Battery Life.
298;>54;Male;Uses standard batteries. Bulky.
318;25-34;Male;Convenience. Interruption.
320;35-44;Male;You can listen to your own music wherever you are. Size. Bit Too Bulky.
338;35-44;Female;Compact and good sound quality. Control Buttons Ver Small.
341;45-54;Male;Its got the best sound quality of any device i've ever had. Nothing.
342;18-24;Male;It's small so no one notices that I'm listening to it at work. It's Out Dated. I Want A New One.
345;35-44;Male;Cheaper than Product A. Just want to listen to music. Don't need video, movies, etc. Perfect for my humble needs. None That I Can Think Of.
349;<18;Female;I can have all my favourite music with me so I don't get bored and it's so easy to use. The Headphones Socket Is Faulty So I Have To Use Tape To Fix It Which Is Not Great.
355;35-44;Male;Sound quality. Too Hard To Use.
357;35-44;Female;The small size. The Sound.
361;18-24;Female;It's ok for working out. I wanted Product A but got this as a gift. It's Ulgy.
374;18-24;Female;Amount of memory. Doesn't Support All Music Formats.
376;18-24;Male;Provides entertainment whilst traveling to and from work. Size.
377;18-24;Male;Can use where and when i want. Chances Of Losing It Are High.
381;35-44;Female;It's reliable. It's A Bit Bulky.
388;25-34;Male;It has a radio in it so I can listen to the radio in the morning on the train and to music in the afternoon on the way home. It Doesn't Wirelessly Connect To My Home Stereo.
389;45-54;Male;It has a radio tuner too. Weight.
393;18-24;Male;Appealing aesthetic. Its Small Storage Capacity.
400;35-44;Male;It is light and compact. Colour.
2;35-44;Male;The battery power is great. The Screen Is Hard To See When Outside.
44;35-44;Male;It's not that great, really. What I like most about it is that it's NOT Product A!. Well, At First It Worked Great, Cycled Thru All Cds, Etc. But A Few Weeks Later It Only Played The Current Cd And Then Stopped. Now, For No Apparent Reason, It Repeats The Current Cd Over And Over. And Yes, I Have Read The Manual!.
76;<18;Female;Storage capacity. Could Be Smaller.
133;35-44;Male;I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device. My Player Only Holds 256 Mb Of Data, So I Can't Keep As Much Music On It As I Would Like.
136;18-24;Female;The amount of music files it holds. The Price.
164;25-34;Female;It was much more affordable than Product A. It's Not As Attractive As Product A.
170;25-34;Female;The color. It's purple which is my favourite color. I also like the accessories you can buy for it. The Battery Doesn't Seem To Last As Long As I Think It Should.
185;25-34;Male;The size. It can take a beating and any jarring won't make the music skip at all. Also, it is small enough to wear around my neck. All of this translates to making exercising and jogging with it easier. The Music Management Software Is Weak And So Is The Amount Of Storage. I Have The 512 Mb Model And It's Still Too Small.
203;45-54;Male;Sound quality. Size.
209;>54;Female;I like how easily it fits into my purse or pocket. The User Manual. The Descriptions Were Not Very Good.
234;35-44;Male;Handy. Less Space.
265;35-44;Male;It's small. The Attempt At Copyright Protection, Which Prohibits The Use Of Downloaded Music Is Annoying.
275;35-44;Male;Built-in FM tuner. Ui Is Kind Of Awkward.
300;>54;Female;It sounds amazing and i love having all that music available to me. Too Big..Should Be The Size Of A Credit Card.
346;>54;Male;Stops me being bored cuz I can listen while I'm working. Price.
347;25-34;Male;Style and portability. More Space Without More Bulkiness.
366;45-54;Female;It lets me listen to my classic rock whenever I want. It Was Expensive, Batteries Do Not Last Long.
384;25-34;Male;Easy to use and it looks cool and i can just drag and drop my music from the pc to it without the need for other programs. It also plays movies. It Is A Bit Bulky But I Can Live With That.
385;45-54;Female;That it is portable. Hard To Figure Out.
38;35-44;Female;Batteries last a long time. The Buttons Are Small.
100;35-44;Male;Long battery life. Good sound quality. Flimsy Construction.
150;25-34;Male;It was cheaper than the overrated Product A. Don't Know.
163;<18;Male;It's totally smooth. Much better than Product A. I love cranking it up and tuning everyone else out on the train. Wish It Came In More Colors.
178;45-54;Male;It has never let me down. has loud volume for my ageing ears. It's Quite Heavy & Bulky.
205;25-34;Female;It holds all of my music and it is small. It Is Too Expensive.
215;>54;Female;I was given it as a present, so I just like it. I Haven't Really Thought About It Since I Was Given It As A Present.
248;>54;Male;I can understand how to use it. Nothing, It's Fine.
405;<18;Male;It was a present, I wouldn't have chosen it. I wanted Product A. Low Storage.
