ID;Programme de Fid;Age;Classe d'age;Sexe;Annee du premier vol;Nombre de vols par an;Classe du nombre de vols par an;Motif du voyage; Depenses aeroport de depart ; Depenses restauration aeroport ;Classe;Compagnie;Nationalite compagnie;Ville de depart;Pays de depart;Ville de destination;Pays de destination;Heure;Heure de depart;Date du vol;Retard au depart en minutes;Annulation du vol;SATISFACTION;Duree du vol;Distance parcourue en miles;Retard a l'arrivee de + de 30 min;Aeronef;Marque Aeronef
100912;Blue;65,00;60-69;F;2004;29,00;21 a 30;Loisir; 30,00 € ; 60,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;21:17:04;21;27/12/2015;0,00;Oui;1;1,00;23000,00;Oui;A380;Airbus
100913;Gold;72,00;70-79;M;2010;31,00;21 a 30;Affaire; -   € ; 30,00 € ;Eco Plus;Blue Airlines;China;Los Angeles;USA;Tokyo;Japan;16:49:39;16;18/03/2016;0,00;Non;4;17,00;1379,00;Non;A330;Airbus
100914;Blue;80,00;80+;M;2007;11,00;11 a 20;Loisir; -   € ; 75,00 € ;Eco;OnlyJets Airlines;Australia;New York;USA;Paris;France;18:32:30;18;28/02/2016;0,00;Non;4;12,00;1069,00;Non;A330;Airbus
100915;Blue;80,00;80+;M;2006;26,00;21 a 30;Loisir; 80,00 € ; 30,00 € ;Eco;China Airlines;China;Montreal;Canada;Nice;France;16:36:14;16;23/02/2016;0,00;Non;5;12,00;11000,00;Non;A380;Airbus
100916;Blue;85,00;80+;F;2008;36,00;31 a 40;Loisir; 60,00 € ; 120,00 € ;Eco Plus;Northwest Airlines;Australia;New York;USA;Berlin;Germany;06:29:36;6;26/02/2016;0,00;Non;4;12,00;192,00;Non;A350;Airbus
100917;Blue;16,00;0-19;F;2010;21,00;21 a 30;Loisir; -   € ; 90,00 € ;Eco;Sky Airlines;USA;Nice;France;London;United Kingdom;07:30:19;7;21/12/2015;0,00;Non;5;2,00;1000,00;Non;A380;Airbus
100918;Blue;16,00;0-19;F;2012;35,00;31 a 40;Loisir; -   € ; 105,00 € ;Eco;Northwest Airlines;Australia;Nantes;France;Lisbon;Portugal;05:39:15;5;15/02/2016;63,00;Non;4;2,00;1000,00;Non;A330;Airbus
100919;Blue;17,00;0-19;F;2007;17,00;11 a 20;Affaire; -   € ; 110,00 € ;Eco Plus;Sky Airlines;USA;Bruxelles;Belgium;Paris;France;16:02:32;16;17/01/2016;0,00;Non;5;1,50;120,00;Non;A380;Airbus
100920;Blue;19,00;0-19;F;2005;1,00;0;Loisir; -   € ; 20,00 € ;Eco;Northwest Airlines;Australia;Lisbon;Portugal;Berlin;Germany;20:44:42;20;10/02/2016;5,00;Non;3;12,00;157,00;Oui;A330;Airbus
100921;Blue;19,00;0-19;M;2007;16,00;11 a 20;Affaire; 15,00 € ; 55,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;12:42:43;12;02/01/2016;4,00;Non;4;17,00;2565,00;Non;A330;Airbus
100922;Blue;20,00;20-29;M;2006;13,00;11 a 20;Affaire; -   € ; 40,00 € ;Business;Sky Airlines;USA;Montreal;Canada;Paris;France;10:45:27;10;19/03/2016;0,00;Non;5;8,00;10000,00;Non;A380;Airbus
100923;Blue;22,00;20-29;F;2003;34,00;31 a 40;Affaire; -   € ; -   € ;Eco;Sky Airlines;USA;Nice;France;London;United Kingdom;15:11:40;15;09/03/2016;1,00;Non;5;2,00;1000,00;Non;A380;Airbus
100924;Blue;22,00;20-29;F;2008;23,00;21 a 30;Affaire; -   € ; 15,00 € ;Eco;Sky Airlines;USA;Geneve;Switzerland;London;United Kingdom;15:12:30;15;04/03/2016;0,00;Non;4;3,00;2000,00;Non;A330;Airbus
100925;Silver;23,00;20-29;F;2009;5,00;1 a 10;Affaire; -   € ; 120,00 € ;Eco;Northwest Airlines;Australia;Lisbon;Portugal;Berlin;Germany;22:35:10;22;15/02/2016;92,00;Non;4;12,00;649,00;Non;A330;Airbus
100926;Silver;23,00;20-29;F;2011;6,00;1 a 10;Affaire; 15,00 € ; 30,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;03:34:27;3;25/02/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
100927;Silver;24,00;20-29;F;2012;19,00;11 a 20;Affaire; -   € ; 180,00 € ;Eco;Sky Airlines;USA;Bruxelles;Belgium;London;United Kingdom;04:19:05;4;26/02/2016;7,00;Non;4;2,00;594,00;Non;A330;Airbus
100928;Blue;25,00;20-29;F;2007;26,00;21 a 30;Affaire; 60,00 € ; 5,00 € ;Eco Plus;OnlyJets Airlines;Australia;New York;USA;London;United Kingdom;05:16:53;5;21/02/2016;0,00;Non;4;12,00;301,00;Non;A330;Airbus
100929;Blue;25,00;20-29;M;2010;58,00;51 a 60;Affaire; 15,00 € ; 20,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;11:02:45;11;10/02/2016;0,00;Non;5;24,00;20000,00;Non;A380;Airbus
100930;Blue;25,00;20-29;M;2009;25,00;21 a 30;Affaire; -   € ; 30,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;12:24:18;12;19/03/2016;14,00;Non;5;12,00;23000,00;Non;A380;Airbus
100931;Blue;28,00;20-29;F;2009;36,00;31 a 40;Affaire; -   € ; 15,00 € ;Business;Sky Airlines;USA;Roma;Italy;Paris;France;21:20:10;21;07/02/2016;0,00;Non;4;12,00;395,00;Non;A330;Airbus
100932;Blue;28,00;20-29;M;2003;53,00;51 a 60;Affaire; -   € ; 128,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;13:36:25;13;26/12/2015;26,00;Non;4;12,00;401,00;Oui;A330;Airbus
100933;Blue;28,00;20-29;M;2012;15,00;11 a 20;Affaire; -   € ; 65,00 € ;Eco;OnlyJets Airlines;Australia;New York;USA;Paris;France;10:00:08;10;17/01/2016;0,00;Non;4;17,00;1674,00;Non;A330;Airbus
100934;Gold;29,00;20-29;M;2009;36,00;31 a 40;Affaire; -   € ; 65,00 € ;Eco;Northwest Airlines;Australia;Nantes;France;Lisbon;Portugal;20:52:22;20;16/01/2016;0,00;Non;4;2,00;1000,00;Non;A330;Airbus
100935;Blue;29,00;20-29;M;2010;7,00;1 a 10;Affaire; -   € ; 50,00 € ;Eco;Northwest Airlines;Australia;Nantes;France;Lisbon;Portugal;15:36:49;15;16/12/2015;16,00;Non;4;2,00;1000,00;Non;A330;Airbus
100936;Blue;30,00;30-39;F;2004;1,00;0;Affaire; -   € ; 45,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;07:08:40;7;22/12/2015;2,00;Non;4;12,00;308,00;Non;A330;Airbus
100937;Silver;31,00;30-39;M;2006;21,00;21 a 30;Affaire; -   € ; 30,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;19:36:46;19;17/01/2016;0,00;Non;4;12,00;288,00;Oui;A330;Airbus
100938;Silver;31,00;30-39;M;2004;6,00;1 a 10;Affaire; -   € ; 125,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;23:52:58;23;18/02/2016;19,00;Non;4;12,00;997,00;Non;A330;Airbus
100939;Blue;32,00;30-39;M;2007;13,00;11 a 20;Affaire; 10,00 € ; 55,00 € ;Eco;Cheap Sky;France;Lisbon;Portugal;Nice;France;00:35:54;0;21/03/2016;137,00;Non;1;12,00;391,00;Oui;A330;Airbus
100940;Gold;32,00;30-39;M;2008;31,00;31 a 40;Affaire; -   € ; 140,00 € ;Business;Blue Airlines;China;Tokyo;Japan;Paris;France;02:23:01;2;17/03/2016;4,00;Non;4;17,00;1605,00;Non;A330;Airbus
100941;Blue;32,00;30-39;M;2005;1,00;1 a 10;Affaire; 6,00 € ; 195,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;00:08:31;0;31/12/2015;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
100942;Platinum;33,00;30-39;M;2010;4,00;1 a 10;Affaire; -   € ; 120,00 € ;Eco;Northwest Airlines;Australia;New York;USA;Berlin;Germany;22:18:55;22;05/01/2016;0,00;Non;4;12,00;489,00;Non;A330;Airbus
100943;Blue;33,00;30-39;F;2008;23,00;21 a 30;Loisir; -   € ; 15,00 € ;Eco;Sky Airlines;USA;Paris;France;Lisbon;Portugal;08:43:18;8;22/12/2015;0,00;Non;4;2,00;1000,00;Non;A330;Airbus
100944;Gold;34,00;30-39;F;2005;23,00;21 a 30;Affaire; -   € ; 240,00 € ;Eco;Sky Airlines;USA;Pekin;China;New York;USA;10:13:50;10;27/02/2016;23,00;Non;5;12,00;30000,00;Non;A380;Airbus
100945;Blue;38,00;30-39;M;2008;26,00;21 a 30;Affaire; 220,00 € ; 55,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Beijing;China;03:39:27;3;14/02/2016;0,00;Non;4;12,00;414,00;Non;A330;Airbus
100946;Silver;38,00;30-39;F;2011;4,00;1 a 10;Affaire; 45,00 € ; 70,00 € ;Eco;Cloud Airlines;France;Geneve;Switzerland;Lyon;France;02:40:33;2;21/01/2016;0,00;Non;1;1,00;2000,00;Oui;A350;Airbus
100947;Silver;38,00;30-39;F;2009;6,00;1 a 10;Affaire; 40,00 € ; 75,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;07:50:49;7;21/12/2015;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
100948;Silver;38,00;30-39;M;2010;18,00;11 a 20;Affaire; -   € ; 140,00 € ;Eco;Sky Airlines;USA;Pekin;China;New York;USA;10:45:22;10;27/12/2015;65,00;Non;5;12,00;30000,00;Non;A380;Airbus
100949;Gold;41,00;40-49;F;2003;7,00;1 a 10;Affaire; 45,00 € ; 75,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Nice;France;12:24:32;12;11/03/2016;0,00;Non;5;12,00;11000,00;Non;A350;Airbus
100950;Silver;42,00;40-49;F;2005;4,00;1 a 10;Affaire; 60,00 € ; 30,00 € ;Eco;Sky Airlines;USA;Pekin;China;London;United Kingdom;00:02:29;0;02/03/2016;0,00;Non;4;12,00;21000,00;Non;A380;Airbus
100951;Blue;42,00;40-49;F;2011;26,00;21 a 30;Loisir; 25,00 € ; 60,00 € ;Eco;China Airlines;China;Pekin;China;New York;USA;10:31:08;10;22/02/2016;94,00;Non;5;12,00;30000,00;Non;A380;Airbus
100952;Silver;43,00;40-49;F;2003;15,00;11 a 20;Affaire; -   € ; 78,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;09:59:17;9;22/02/2016;0,00;Non;4;12,00;558,00;Non;A330;Airbus
100953;Silver;43,00;40-49;F;2008;4,00;1 a 10;Affaire; -   € ; 95,00 € ;Eco;Sky Airlines;USA;Tokyo;Japan;Geneve;Switzerland;04:07:38;4;13/01/2016;0,00;Non;4;12,00;1119,00;Non;B747;Boeing
100954;Blue;44,00;40-49;F;2006;8,00;1 a 10;Affaire; -   € ; 60,00 € ;Eco Plus;Cloud Airlines;France;Lisbon;Portugal;Nice;France;06:55:23;6;24/01/2016;0,00;Non;1;12,00;697,00;Oui;A330;Airbus
100955;Gold;45,00;40-49;F;2006;14,00;11 a 20;Affaire; 30,00 € ; 45,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;15:43:23;15;14/03/2016;0,00;Non;4;12,00;705,00;Non;A330;Airbus
100956;Blue;45,00;40-49;F;2007;3,00;1 a 10;Loisir; 60,00 € ; 230,00 € ;Eco;Blue Airlines;China;Los Angeles;USA;Tokyo;Japan;14:15:52;14;18/12/2015;6,00;Non;4;12,00;925,00;Non;A330;Airbus
100957;Silver;45,00;40-49;F;2004;11,00;11 a 20;Affaire; 40,00 € ; 60,00 € ;Eco;China Airlines;China;Pekin;China;Nice;France;16:13:09;16;17/12/2015;0,00;Non;5;17,00;23000,00;Non;A380;Airbus
100958;Blue;48,00;40-49;M;2005;35,00;31 a 40;Affaire; 60,00 € ; 75,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Nice;France;06:34:17;6;21/02/2016;0,00;Non;5;12,00;10000,00;Non;A380;Airbus
100959;Gold;49,00;40-49;F;2007;18,00;11 a 20;Loisir; -   € ; 95,00 € ;Eco;Sky Airlines;USA;Nice;France;London;United Kingdom;18:13:46;18;29/12/2015;27,00;Non;5;2,00;1500,00;Non;A380;Airbus
100960;Silver;50,00;50-59;F;2008;8,00;1 a 10;Affaire; -   € ; 10,00 € ;Eco Plus;Sky Airlines;USA;Roma;Italy;Paris;France;12:05:23;12;19/03/2016;151,00;Non;4;12,00;789,00;Oui;A330;Airbus
100961;Blue;50,00;50-59;F;2007;26,00;21 a 30;Loisir; 35,00 € ; 50,00 € ;Eco;Cloud Airlines;France;Lisbon;Portugal;Nice;France;13:41:44;13;02/02/2016;0,00;Non;1;12,00;1050,00;Oui;B747;Boeing
100962;Silver;51,00;50-59;F;2012;21,00;21 a 30;Loisir; -   € ; 60,00 € ;Eco Plus;Northwest Airlines;Australia;Los Angeles;USA;Tokyo;Japan;02:19:58;2;18/02/2016;19,00;Non;4;12,00;308,00;Non;A330;Airbus
100963;Blue;52,00;50-59;F;2010;8,00;1 a 10;Affaire; -   € ; 25,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;17:40:44;17;21/12/2015;0,00;Non;4;12,00;373,00;Non;A330;Airbus
100964;Gold;53,00;50-59;M;2005;13,00;11 a 20;Affaire; -   € ; 75,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;11:20:45;11;05/01/2016;13,00;Non;4;12,00;533,00;Non;A330;Airbus
100965;Blue;55,00;50-59;M;2007;7,00;1 a 10;Affaire; 35,00 € ; -   € ;Eco Plus;Sky Airlines;USA;Sydney;Australia;London;United Kingdom;00:50:31;0;13/01/2016;0,00;Non;4;17,00;11000,00;Non;A380;Airbus
100966;Silver;55,00;50-59;F;2007;13,00;11 a 20;Loisir; 90,00 € ; 90,00 € ;Eco;Sky Airlines;USA;Pekin;China;Madrid;Spain;19:38:47;19;30/01/2016;0,00;Non;5;17,00;21000,00;Non;A380;Airbus
100967;Blue;57,00;50-59;M;2004;27,00;21 a 30;Affaire; -   € ; 65,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;10:47:06;10;18/03/2016;0,00;Non;4;12,00;391,00;Non;A330;Airbus
100968;Blue;57,00;50-59;M;2003;1,00;0;Billet Miles; -   € ; 20,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;London;United Kingdom;22:57:24;22;31/12/2015;0,00;Non;4;12,00;584,00;Non;A330;Airbus
100969;Blue;58,00;50-59;F;2005;22,00;21 a 30;Loisir; 45,00 € ; 15,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;Tokyo;Japan;15:35:03;15;04/02/2016;21,00;Non;4;12,00;337,00;Non;A330;Airbus
100970;Silver;58,00;50-59;M;2003;31,00;31 a 40;Affaire; -   € ; 95,00 € ;Eco;Sky Airlines;USA;Pekin;China;New York;USA;03:52:19;3;14/01/2016;0,00;Non;5;12,00;30000,00;Non;A380;Airbus
100971;Blue;60,00;60-69;M;2008;31,00;31 a 40;Loisir; 20,00 € ; 55,00 € ;Eco;OnlyJets Airlines;Australia;Madrid;Spain;Paris;France;13:32:03;13;30/01/2016;29,00;Non;4;12,00;1047,00;Non;A330;Airbus
100972;Blue;60,00;60-69;F;2006;16,00;11 a 20;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Nice;France;19:47:32;19;18/03/2016;0,00;Non;5;12,00;10000,00;Non;A380;Airbus
100973;Silver;61,00;60-69;F;2011;11,00;11 a 20;Affaire; -   € ; 45,00 € ;Eco;China Airlines;China;Pekin;China;Nice;France;05:54:17;5;21/12/2015;36,00;Non;5;12,00;23000,00;Non;A380;Airbus
100974;Blue;62,00;60-69;M;2004;8,00;1 a 10;Affaire; 100,00 € ; 220,00 € ;Eco;OnlyJets Airlines;Australia;Madrid;Spain;Paris;France;00:51:56;0;08/01/2016;0,00;Non;4;12,00;1173,00;Non;A330;Airbus
100975;Blue;62,00;60-69;F;2010;17,00;11 a 20;Loisir; 70,00 € ; 45,00 € ;Eco Plus;Blue Airlines;China;Tokyo;Japan;Paris;France;10:51:40;10;05/02/2016;0,00;Non;4;17,00;1605,00;Non;A330;Airbus
100976;Blue;63,00;60-69;F;2008;12,00;11 a 20;Loisir; -   € ; 75,00 € ;Eco;FlyHere Airways;United Kingdom;Paris;France;Lisbon;Portugal;20:53:41;20;08/01/2016;0,00;Non;4;2,00;1500,00;Non;A330;Airbus
100977;Blue;67,00;60-69;F;2007;39,00;31 a 40;Affaire; 215,00 € ; 90,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Paris;France;05:31:36;5;29/12/2015;0,00;Non;4;12,00;10000,00;Non;A380;Airbus
100978;Silver;70,00;70-79;M;2004;32,00;31 a 40;Loisir; 10,00 € ; 25,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;Paris;France;10:15:25;10;14/03/2016;60,00;Non;4;17,00;10000,00;Non;A380;Airbus
100979;Blue;71,00;70-79;M;2007;42,00;41 a 50;Loisir; -   € ; 15,00 € ;Eco;China Airlines;China;Pekin;China;Nice;France;23:24:54;23;08/03/2016;11,00;Non;5;17,00;23000,00;Non;A380;Airbus
100980;Blue;72,00;70-79;F;2010;8,00;1 a 10;Affaire; 165,00 € ; 60,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;04:37:19;4;29/12/2015;0,00;Non;4;17,00;2161,00;Non;A330;Airbus
100981;Blue;73,00;70-79;M;2003;33,00;31 a 40;Loisir; 60,00 € ; 90,00 € ;Eco;Northwest Airlines;Australia;New York;USA;Paris;France;02:35:48;2;01/01/2016;0,00;Non;4;17,00;1482,00;Non;A330;Airbus
100982;Blue;75,00;70-79;F;2003;8,00;1 a 10;Loisir; 60,00 € ; 210,00 € ;Eco;Sky Airlines;USA;Nice;France;Paris;France;16:09:03;16;28/12/2015;0,00;Non;5;1,00;98,00;Non;A380;Airbus
100983;Silver;75,00;70-79;F;2005;2,00;1 a 10;Affaire; 20,00 € ; 130,00 € ;Business;China Airlines;China;Sydney;Australia;Nice;France;09:27:02;9;22/12/2015;45,00;Non;1;17,00;10000,00;Oui;A380;Airbus
100984;Blue;75,00;70-79;M;2003;24,00;21 a 30;Loisir; 10,00 € ; 60,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;20:04:53;20;19/02/2016;0,00;Non;5;24,00;20000,00;Non;A380;Airbus
100985;Gold;76,00;70-79;M;2007;46,00;41 a 50;Affaire; -   € ; 240,00 € ;Eco;Cloud Airlines;France;Nice;France;Paris;France;02:37:19;2;01/03/2016;67,00;Non;4;1,00;98,00;Non;A330;Airbus
100986;Blue;80,00;80+;F;2011;19,00;11 a 20;Loisir; -   € ; 20,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;17:17:42;17;03/02/2016;2,00;Non;4;12,00;438,00;Non;A330;Airbus
100987;Blue;80,00;80+;F;2012;55,00;51 a 60;Loisir; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;New York;USA;20:19:01;20;09/03/2016;0,00;Non;5;24,00;22000,00;Non;A380;Airbus
100988;Platinum;85,00;80+;M;2012;46,00;41 a 50;Billet Miles; -   € ; 75,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;21:54:51;21;12/02/2016;0,00;Non;4;12,00;284,00;Non;A330;Airbus
100989;Blue;85,00;80+;F;2012;8,00;1 a 10;Loisir; 75,00 € ; 180,00 € ;Eco;Blue Airlines;China;Tokyo;Japan;Paris;France;07:08:50;7;04/01/2016;45,00;Non;4;12,00;967,00;Non;A330;Airbus
100990;Blue;19,00;0-19;F;2009;1,00;0;Affaire; -   € ; 30,00 € ;Eco;Cloud Airlines;France;Paris;France;Lisbon;Portugal;12:20:47;12;04/01/2016;0,00;Non;4;2,00;1000,00;Non;B747;Boeing
100991;Blue;21,00;20-29;M;2006;12,00;11 a 20;Affaire; 14,00 € ; 10,00 € ;Eco;Sky Airlines;USA;Madrid;Spain;Paris;France;16:54:59;16;08/03/2016;3,00;Non;5;12,00;496,00;Non;A380;Airbus
100992;Blue;22,00;20-29;F;2011;36,00;31 a 40;Affaire; 20,00 € ; 30,00 € ;Eco;Northwest Airlines;Australia;New York;USA;Berlin;Germany;22:54:54;22;02/01/2016;0,00;Non;4;12,00;236,00;Non;A330;Airbus
100993;Blue;24,00;20-29;M;2010;21,00;11 a 20;Affaire; -   € ; 30,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;23:23:24;23;09/01/2016;0,00;Non;4;12,00;1167,00;Non;A330;Airbus
100994;Blue;25,00;20-29;F;2009;39,00;31 a 40;Loisir; 15,00 € ; 20,00 € ;Eco Plus;Northwest Airlines;Australia;Paris;France;Berlin;Germany;09:21:04;9;20/03/2016;28,00;Non;4;2,00;1000,00;Non;A330;Airbus
100995;Blue;27,00;20-29;F;2010;14,00;11 a 20;Billet Miles; 5,00 € ; 55,00 € ;Eco;OnlyJets Airlines;Australia;Madrid;Spain;Paris;France;07:18:03;7;07/03/2016;75,00;Non;4;12,00;612,00;Non;A330;Airbus
100996;Blue;29,00;20-29;M;2003;15,00;11 a 20;Affaire; -   € ; 30,00 € ;Eco;Sky Airlines;USA;Pekin;China;London;United Kingdom;13:59:52;13;21/01/2016;0,00;Non;1;12,00;21000,00;Non;A380;Airbus
100997;Blue;31,00;30-39;M;2007;17,00;11 a 20;Affaire; -   € ; 50,00 € ;Eco;Northwest Airlines;Australia;New York;USA;Berlin;Germany;00:54:03;0;29/01/2016;0,00;Non;4;12,00;347,00;Non;A350;Airbus
100998;Blue;31,00;30-39;M;2008;1,00;0;Loisir; -   € ; 60,00 € ;Eco;FlyHere Airways;United Kingdom;Paris;France;Lisbon;Portugal;03:24:56;3;17/12/2015;14,00;Non;4;2,00;1000,00;Non;A330;Airbus
100999;Blue;31,00;30-39;M;2005;45,00;41 a 50;Affaire; -   € ; 40,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;12:42:48;12;19/01/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
101000;Blue;32,00;30-39;F;2010;15,00;11 a 20;Affaire; -   € ; 60,00 € ;Eco;Northwest Airlines;Australia;New York;USA;London;United Kingdom;13:40:53;13;16/01/2016;0,00;Non;4;17,00;1504,00;Non;A330;Airbus
101001;Blue;34,00;30-39;M;2011;18,00;11 a 20;Affaire; -   € ; 50,00 € ;Eco;China Airlines;China;Pekin;China;Nice;France;10:07:24;10;16/01/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
101002;Blue;36,00;30-39;M;2011;11,00;11 a 20;Affaire; -   € ; 15,00 € ;Eco;Sky Airlines;USA;Pekin;China;Paris;France;14:03:31;14;06/02/2016;5,00;Non;4;12,00;23000,00;Non;A380;Airbus
101003;Gold;37,00;30-39;M;2007;1,00;0;Affaire; -   € ; 130,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;18:36:39;18;24/12/2015;15,00;Non;4;12,00;201,00;Oui;A330;Airbus
101004;Blue;37,00;30-39;M;2008;29,00;21 a 30;Billet Miles; 90,00 € ; 75,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;London;United Kingdom;00:11:38;0;08/01/2016;0,00;Non;4;12,00;11000,00;Non;A380;Airbus
101005;Gold;39,00;30-39;F;2005;3,00;1 a 10;Affaire; 30,00 € ; 30,00 € ;Business;Sky Airlines;USA;Pekin;China;London;United Kingdom;13:53:33;13;03/02/2016;11,00;Non;5;12,00;21000,00;Non;A380;Airbus
101006;Blue;40,00;40-49;M;2010;6,00;1 a 10;Affaire; 5,00 € ; 60,00 € ;Business;Blue Airlines;China;Los Angeles;USA;Tokyo;Japan;18:21:37;18;20/12/2015;163,00;Non;4;12,00;862,00;Non;A330;Airbus
101007;Blue;42,00;40-49;F;2010;4,00;1 a 10;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Pekin;China;London;United Kingdom;10:27:16;10;04/02/2016;0,00;Non;5;12,00;21000,00;Non;A380;Airbus
101008;Blue;43,00;40-49;F;2012;31,00;31 a 40;Loisir; 60,00 € ; 25,00 € ;Eco;Cloud Airlines;France;Paris;France;Lyon;France;06:31:16;6;05/02/2016;0,00;Non;3;1,00;98,00;Non;B747;Boeing
101009;Silver;43,00;40-49;M;2003;4,00;1 a 10;Affaire; -   € ; 60,00 € ;Eco;Northwest Airlines;Australia;New York;USA;Berlin;Germany;22:14:57;22;01/01/2016;0,00;Non;4;12,00;550,00;Non;B747;Boeing
101010;Blue;43,00;40-49;F;2003;3,00;1 a 10;Affaire; 20,00 € ; 35,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;Tokyo;Japan;11:16:42;11;12/12/2015;0,00;Non;4;12,00;646,00;Non;A330;Airbus
101011;Silver;44,00;40-49;F;2010;3,00;1 a 10;Affaire; 70,00 € ; 95,00 € ;Business;Northwest Airlines;Australia;New York;USA;Paris;France;03:49:23;3;22/01/2016;0,00;Non;4;12,00;898,00;Non;B747;Boeing
101012;Platinum;44,00;40-49;M;2004;18,00;11 a 20;Affaire; 170,00 € ; 60,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Paris;France;21:57:01;21;14/02/2016;531,00;Non;4;12,00;954,00;Oui;A330;Airbus
101013;Blue;44,00;40-49;F;2009;19,00;11 a 20;Loisir; 255,00 € ; 40,00 € ;Eco;Sky Airlines;USA;Sydney;Australia;London;United Kingdom;11:55:41;11;08/02/2016;0,00;Non;4;12,00;11000,00;Non;A380;Airbus
101014;Blue;45,00;40-49;F;2004;11,00;11 a 20;Loisir; -   € ; 69,00 € ;Eco Plus;Northwest Airlines;Australia;Los Angeles;USA;Tokyo;Japan;16:03:23;16;12/03/2016;0,00;Non;4;12,00;261,00;Non;A330;Airbus
101015;Silver;45,00;40-49;F;2007;8,00;1 a 10;Affaire; -   € ; 60,00 € ;Eco;Sky Airlines;USA;Tokyo;Japan;Geneve;Switzerland;08:15:52;8;27/01/2016;0,00;Non;4;12,00;985,00;Non;B747;Boeing
101016;Blue;45,00;40-49;F;2009;13,00;11 a 20;Affaire; -   € ; 120,00 € ;Business;Sky Airlines;USA;Nice;France;London;United Kingdom;02:30:06;2;17/12/2015;85,00;Non;5;2,00;1500,00;Non;A380;Airbus
101017;Blue;47,00;40-49;M;2010;34,00;31 a 40;Loisir; 5,00 € ; 15,00 € ;Eco;Northwest Airlines;Australia;London;United Kingdom;Paris;France;11:52:05;11;25/01/2016;0,00;Non;4;12,00;129,00;Non;A330;Airbus
101018;Blue;47,00;40-49;F;2009;12,00;11 a 20;Affaire; 40,00 € ; -   € ;Eco;Sky Airlines;USA;Nice;France;London;United Kingdom;23:06:58;23;21/02/2016;0,00;Non;5;2,00;1500,00;Non;A380;Airbus
101019;Silver;47,00;40-49;F;2008;25,00;21 a 30;Loisir; 30,00 € ; 50,00 € ;Eco;Sky Airlines;USA;Pekin;China;Nice;France;05:21:23;5;14/02/2016;0,00;Non;5;12,00;23000,00;Non;A380;Airbus
101020;Silver;48,00;40-49;M;2009;21,00;21 a 30;Affaire; 10,00 € ; 30,00 € ;Eco;Northwest Airlines;Australia;Los Angeles;USA;Tokyo;Japan;01:10:14;1;02/01/2016;0,00;Non;4;12,00;351,00;Non;A330;Airbus
101021;Blue;49,00;40-49;F;2005;19,00;11 a 20;Affaire; 120,00 € ; 40,00 € ;Eco;Sky Airlines;USA;Roma;Italy;Sydney;Australia;23:42:08;23;31/12/2015;73,00;Non;4;12,00;363,00;Non;A330;Airbus
